Gene,logFC,P-value,Adj_P
ILMN_2342066,0.28825286728431365,0.00015825887830415498,0.006391037217405523
ILMN_1770765,-0.35589199451960774,0.00016087681780777135,0.006437517648751702
ILMN_1660426,-0.20210735284313763,0.00016073257404712298,0.006437517648751702
ILMN_1755741,0.4587455997254901,0.0001601530885978141,0.006437517648751702
ILMN_1651987,-0.3575667847156847,0.0001624368901704988,0.006480247451801868
ILMN_1736180,0.3926431108627453,0.00016404227252516144,0.006524521201793808
ILMN_1659405,-0.29243810407843185,0.0001649693157790183,0.006541629645273422
ILMN_1677906,-0.2959611089117651,0.00016577452994178684,0.006553818878929801
ILMN_2141453,-0.16664297980392107,0.00016909877307815318,0.006665225591538583
ILMN_1723520,0.29238066294117804,0.0001703211274367133,0.006688243108557407
ILMN_1682857,-0.23587759639215555,0.00017069879866884078,0.006688243108557407
ILMN_1809013,0.16451249382352806,0.00017179490521096227,0.0066986409929450175
ILMN_1765941,0.47554953180392223,0.00017330118385541586,0.0066986409929450175
ILMN_1771003,0.3426934287647079,0.00017332629318978393,0.0066986409929450175
ILMN_1809963,-0.2559502442647066,0.0001733956256847573,0.0066986409929450175
ILMN_1772286,-0.3523629023725503,0.00017350828549899362,0.0066986409929450175
ILMN_1656292,-0.29671526415686067,0.00017461320358487124,0.0067026035765544905
ILMN_3310840,0.38033599740196156,0.000175553618464676,0.0067026035765544905
ILMN_2053546,-0.26690272738235343,0.00017526263002332626,0.0067026035765544905
ILMN_1779071,-0.41237184248039105,0.00017564741617252558,0.0067026035765544905
ILMN_1751072,-0.22801841412745194,0.00018135056408384934,0.006791995793185926
ILMN_3248379,0.23464424686274654,0.00018088289750194916,0.006791995793185926
ILMN_1765258,0.18057930470588168,0.00018017144597098168,0.006791995793185926
ILMN_1709891,-0.2308114944313724,0.0001786278597114773,0.006791995793185926
ILMN_2216582,0.20846747881372885,0.00018211731978690708,0.006791995793185926
ILMN_1712400,-0.1963827670490197,0.000180756795352014,0.006791995793185926
ILMN_1751264,0.2809232349019606,0.00018189219294810615,0.006791995793185926
ILMN_2400143,-0.2007699345490197,0.00017997123692339701,0.006791995793185926
ILMN_1789005,0.10729953098039324,0.00018346465757063818,0.006818242917824427
ILMN_1664608,0.2366266307745093,0.00018385691119085997,0.006818242917824427
ILMN_1691053,-0.37942053551960697,0.00018446283882368625,0.006821497958184914
ILMN_1783695,-0.2116688420784314,0.0001876617098310652,0.006920354089428497
